object_id,pipeline,opposite_view_clip_max,opposite_view_clip_mean,degenerate_view_pairs,min_coverage,max_coverage,sat_ratio,chroma_var_ratio
B2_12,sam3d_sam3,0.9393,0.9116,,0.0454,0.3472,0.6035,0.5908
B2_12,trellis2_rembg_2k,0.9461,0.9156,,0.4599,0.5889,0.892,0.4663
B2_12,trellis2_rembg_4k,0.9402,0.9129,,0.46,0.5889,0.9403,0.7021
B2_12,trellis2_sam3_2k,0.9188,0.906,,0.1315,0.2714,0.7634,0.5545
B2_12,trellis2_sam3_4k,0.9287,0.9259,,0.1314,0.2712,0.8677,0.6493
B2_12,trellis_rembg,0.9257,0.9052,,0.438,0.5095,0.9095,0.421
B2_12,trellis_sam3,0.9281,0.8905,,0.1837,0.3624,0.8492,0.6341
B2_13,hunyuan_rembg,0.9147,0.906,,0.1659,0.2574,0.8,0.5885
B2_13,hunyuan_sam3,0.9544,0.9,,0.1395,0.2634,0.8277,0.7127
B2_13,sam3d_sam3,0.9581,0.9294,,0.2507,0.3539,0.8963,0.73
B2_13,trellis2_rembg_2k,0.9408,0.9364,,0.4944,0.5416,0.8249,0.7544
B2_13,trellis2_rembg_4k,0.9431,0.9373,,0.4944,0.5415,0.9424,0.7611
B2_13,trellis2_sam3_2k,0.9457,0.9385,,0.4917,0.5354,0.8865,0.6992
B2_13,trellis2_sam3_4k,0.9386,0.9346,,0.4923,0.5354,0.8536,0.6892
B2_13,trellis_rembg,0.9503,0.95,,0.257,0.3286,0.8292,0.7315
B2_13,trellis_sam3,0.9579,0.9312,,0.2191,0.4049,0.8487,0.5341
B2_14,hunyuan_rembg,0.9668,0.9397,,0.2991,0.4431,0.6645,0.7047
B2_14,hunyuan_sam3,0.9221,0.9071,,0.3567,0.4614,0.7701,0.6362
B2_14,sam3d_sam3,0.98,0.9499,,0.3987,0.4659,0.688,0.3471
B2_14,trellis2_rembg_2k,0.9518,0.9323,,0.5667,0.6657,0.8099,0.6043
B2_14,trellis2_rembg_4k,0.9426,0.9235,,0.5667,0.6661,0.9915,0.6211
B2_14,trellis2_sam3_2k,0.9373,0.9001,,0.5233,0.6589,0.9861,0.5903
B2_14,trellis2_sam3_4k,0.9645,0.9454,,0.5233,0.6588,0.9516,0.5374
B2_14,trellis_rembg,0.9332,0.8991,,0.3823,0.4796,0.6262,0.4534
B2_14,trellis_sam3,0.9568,0.9517,,0.4011,0.508,0.7554,0.5849
B2_15,hunyuan_rembg,0.9175,0.9086,,0.5873,0.9169,0.676,0.1832
B2_15,hunyuan_sam3,0.9384,0.9205,,0.457,0.6865,0.6554,0.3951
B2_15,sam3d_sam3,0.9133,0.9121,,0.3633,0.4959,0.6259,0.3624
B2_15,trellis2_rembg_2k,0.9448,0.9162,,0.281,0.4463,0.6318,0.576
B2_15,trellis2_rembg_4k,0.9111,0.8952,,0.281,0.4461,0.5629,0.478
B2_15,trellis2_sam3_2k,0.9204,0.9189,,0.1486,0.324,0.9088,0.6559
B2_15,trellis2_sam3_4k,0.9266,0.9025,,0.1486,0.3241,0.9688,0.6347
B2_15,trellis_rembg,0.981,0.9497,,0.5411,0.5812,0.564,0.529
B2_15,trellis_sam3,0.9431,0.9364,,0.4813,0.6222,0.8133,0.6628
B2_16,hunyuan_rembg,0.9113,0.902,,0.3553,0.6505,0.398,0.5177
B2_16,hunyuan_sam3,0.9201,0.8985,,0.5221,0.8017,0.3832,0.2788
B2_16,sam3d_sam3,0.9145,0.9028,,0.4083,0.8545,0.7687,0.4813
B2_16,trellis2_rembg_2k,0.9463,0.9198,,0.4541,0.4954,0.7128,0.4786
B2_16,trellis2_rembg_4k,0.9191,0.9184,,0.4543,0.4956,0.4715,0.4609
B2_16,trellis2_sam3_2k,0.9198,0.9167,,0.2801,0.3922,0.6885,0.5411
B2_16,trellis2_sam3_4k,0.9334,0.9232,,0.28,0.392,0.597,0.6653
B2_16,trellis_rembg,0.9141,0.9076,,0.9862,1.0,0.6658,0.4553
B2_16,trellis_sam3,0.9117,0.9006,,0.4839,0.7369,0.7062,0.5088
B2_17,hunyuan_rembg,0.9122,0.9042,,0.5653,0.9508,0.4137,0.4431
B2_17,hunyuan_sam3,0.9269,0.8728,,0.5345,0.8943,0.5977,0.4443
B2_17,sam3d_sam3,0.9546,0.9305,,0.4815,0.9356,0.6304,0.4517
B2_17,trellis2_rembg_2k,0.9453,0.9154,,0.5016,0.8788,0.5846,0.6643
B2_17,trellis2_rembg_4k,0.903,0.8599,,0.5017,0.8789,0.355,0.6404
B2_17,trellis2_sam3_2k,0.9235,0.8525,,0.3969,0.8638,0.5406,0.649
B2_17,trellis2_sam3_4k,0.9566,0.8847,,0.3969,0.8638,0.2813,0.5977
B2_17,trellis_rembg,0.9463,0.9247,,0.5555,0.78,0.1515,0.5073
B2_17,trellis_sam3,0.9231,0.9106,,0.6277,0.7425,0.6942,0.3737
B2_18,hunyuan_rembg,0.9139,0.9121,,0.1432,0.3251,0.8665,0.5921
B2_18,hunyuan_sam3,0.9214,0.86,,0.2926,0.3277,0.7368,0.552
B2_18,sam3d_sam3,0.9433,0.8943,,0.3795,0.4061,0.5954,0.4519
B2_18,trellis2_rembg_2k,0.9329,0.9169,,0.3733,0.4272,0.5884,0.4648
B2_18,trellis2_rembg_4k,0.9428,0.9346,,0.3733,0.4274,0.832,0.593
B2_18,trellis2_sam3_2k,0.9155,0.9011,,0.3213,0.3725,0.8648,0.5201
B2_18,trellis2_sam3_4k,0.958,0.9185,,0.3213,0.3725,0.895,0.7868
B2_18,trellis_rembg,0.9122,0.889,,0.307,0.3419,0.8419,0.6431
B2_18,trellis_sam3,0.8868,0.8776,,0.3098,0.3387,0.67,0.7995
B2_19,hunyuan_rembg,0.941,0.8715,,0.1206,0.2205,0.7641,0.5195
B2_19,hunyuan_sam3,0.9216,0.9199,,0.1407,0.2315,0.8521,0.5712
B2_19,sam3d_sam3,0.8884,0.8438,,0.2468,0.3694,0.4471,0.6639
B2_19,trellis2_rembg_2k,0.9245,0.882,,0.3098,0.4006,0.7513,0.4629
B2_19,trellis2_rembg_4k,0.9175,0.897,,0.3098,0.4005,0.8318,0.5643
B2_19,trellis2_sam3_2k,0.951,0.9221,,0.3152,0.3996,0.6863,0.6564
B2_19,trellis2_sam3_4k,0.9577,0.916,,0.3153,0.3996,0.7915,0.5513
B2_19,trellis_rembg,0.8967,0.8772,,0.2361,0.3445,0.6176,0.2432
B2_19,trellis_sam3,0.9014,0.8827,,0.2554,0.3561,0.7716,0.7436
B2_20,hunyuan_rembg,0.9564,0.933,,0.361,0.3798,0.6548,0.8485
B2_20,hunyuan_sam3,0.9443,0.8899,,0.3566,0.364,0.9036,0.6247
B2_20,sam3d_sam3,0.9709,0.9071,,0.3521,0.4312,0.7442,0.6421
B2_20,trellis2_rembg_2k,0.9631,0.9152,,0.3652,0.4271,0.8089,0.6998
B2_20,trellis2_rembg_4k,0.9643,0.8983,,0.3652,0.4276,0.8578,0.7169
B2_20,trellis2_sam3_2k,0.9625,0.9447,,0.3838,0.4446,0.818,0.7051
B2_20,trellis2_sam3_4k,0.9527,0.9067,,0.3835,0.4447,0.9388,0.7821
B2_20,trellis_rembg,0.9365,0.9,,0.3632,0.3948,0.8013,0.6371
B2_20,trellis_sam3,0.9389,0.917,,0.3632,0.3835,0.933,0.6377
B2_21,hunyuan_rembg,0.9028,0.8395,,0.1445,0.2928,0.6594,0.556
B2_21,hunyuan_sam3,0.9343,0.9089,,0.1391,0.2869,0.467,0.5099
B2_21,sam3d_sam3,0.9485,0.9248,,0.2987,0.45,0.5681,0.3008
B2_21,trellis2_rembg_2k,0.9433,0.9328,,0.4368,0.6267,0.76,0.4397
B2_21,trellis2_rembg_4k,0.9044,0.8993,,0.4367,0.6267,0.7148,0.4621
B2_21,trellis2_sam3_2k,0.922,0.8995,,0.4017,0.5723,0.6685,0.5734
B2_21,trellis2_sam3_4k,0.9714,0.9204,,0.4015,0.5722,0.8407,0.4688
B2_21,trellis_rembg,0.9564,0.9325,,0.3216,0.5089,0.6106,0.5717
B2_21,trellis_sam3,0.9388,0.9076,,0.2923,0.49,0.7059,0.7815
B2_22,hunyuan_rembg,0.9081,0.811,,0.5745,0.6934,0.749,0.4508
B2_22,hunyuan_sam3,0.9242,0.8897,,0.4338,0.6205,0.853,0.4767
B2_22,sam3d_sam3,0.9281,0.922,,0.4455,0.6323,0.7425,0.1839
B2_22,trellis2_rembg_2k,0.9478,0.9037,,0.547,0.6683,0.9211,0.4279
B2_22,trellis2_rembg_4k,0.9282,0.9231,,0.547,0.6682,0.9083,0.4235
B2_22,trellis2_sam3_2k,0.877,0.8759,,0.563,0.669,0.9724,0.4498
B2_22,trellis2_sam3_4k,0.9522,0.9149,,0.5628,0.6688,0.9166,0.5167
B2_22,trellis_rembg,0.9241,0.8837,,0.6487,0.7565,0.6524,0.4133
B2_22,trellis_sam3,0.9063,0.905,,0.6143,0.7188,0.4544,0.4455
B2_23,hunyuan_rembg,0.9084,0.8848,,0.3625,0.5278,0.8593,0.5648
B2_23,hunyuan_sam3,0.9168,0.8993,,0.3906,0.5448,0.9202,0.4474
B2_23,sam3d_sam3,0.9426,0.8765,,0.5774,0.6835,0.5211,0.5375
B2_23,trellis2_rembg_2k,0.9278,0.8917,,0.4536,0.6684,0.5623,0.5898
B2_23,trellis2_rembg_4k,0.9253,0.9164,,0.4536,0.6685,0.5697,0.5411
B2_23,trellis2_sam3_2k,0.9399,0.9258,,0.452,0.6656,0.8787,0.4644
B2_23,trellis2_sam3_4k,0.9365,0.9363,,0.4514,0.6652,0.6358,0.5474
B2_23,trellis_rembg,0.8779,0.8679,,0.5055,0.6803,0.5262,0.2964
B2_23,trellis_sam3,0.8927,0.8765,,0.4489,0.5954,0.6099,0.4288
